zip_code,property_sales
60637,293
60623,424
60647,961
60612,246
60643,2908
60617,2538
60629,2580
60628,3387
60657,458
60610,101
60649,511
60622,459
60655,1566
60634,2920
60619,2281
60638,2698
60608,451
60644,562
60651,1019
60620,2880
60642,47
60615,141
60640,248
60613,273
60614,647
60607,43
60660,185
60630,1672
60625,754
60626,140
60631,1317
60707,712
60616,177
60639,1045
60646,1202
60636,1157
60624,211
60652,1909
60632,1064
60641,1486
60656,960
60659,446
60621,368
60618,1334
60611,10
60645,526
60609,608
60633,425
60827,79
60805,42
60706,126
60803,134
60605,30
60653,158
60804,6
60654,8
60666,1
60606,2
